,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
67,1/1/23,7920,0,south lawndale,41.849483,-87.69537,41.96979692,59.92857143,None
68,1/1/23,140102,0,brighton park,41.82193,-87.69146,43.62498588,73.53319209,None
69,1/1/23,36901,1,loop,41.88437,-87.61652,8.980740223,16.46927374,None
70,1/1/23,133664,1,near south side,41.8595,-87.6205,37.73290972,54.86666667,None
71,1/1/23,140390,1,uptown,41.975258,-87.67274,7.746671309,26.25626741,None
72,1/1/23,43955,1,west ridge,41.993675,-87.6932,12.28471528,22.49930556,None
73,1/1/23,57579,1,edgewater,41.991753,-87.657234,4.123166667,23.8875,None
74,1/1/23,109598,0,west town,41.89003,-87.65576,41.34146732,55.20862309,None
75,1/1/23,148029,0,irving park,41.9475,-87.71516,48.56412676,62.20915493,None
76,1/2/23,124677,0,edgewater,41.99066,-87.66854,36.05570833,61.73055556,None
77,1/2/23,8476,0,near south side,41.861206,-87.62989,16.14461248,100,None
78,1/2/23,45079,1,NA,42.0225,-87.76374,4.953291667,27.09861111,None
79,1/2/23,151188,0,near north side,41.897343,-87.62692,37.80240972,57.99166667,None
80,1/2/23,3499,0,west town,41.892696,-87.68569,22.82839888,76.37078652,None
81,1/2/23,87741,0,west town,41.90011,-87.68288,46.52955056,62.26685393,None
82,1/2/23,124513,1,irving park,41.95386,-87.71078,4.573007194,23.70935252,None
83,1/2/23,6546,1,lower west side,41.856613,-87.6818,1.368039492,24.40479549,None
84,1/2/23,124679,0,south chicago,41.74125,-87.55403,27.73369412,65.39764706,None
85,1/2/23,124737,0,edgewater,41.994427,-87.66211,29.90135097,61.64206128,None
86,1/2/23,101643,0,north park,41.980278,-87.71708,46.63,81.62916667,None
87,1/2/23,151082,0,rogers park,41.998966,-87.65796,45.73620139,69.76111111,None
88,1/2/23,52011,0,west town,41.911945,-87.66863,17.386337,55.94505495,None
89,1/2/23,124685,0,edgewater,41.991535,-87.6575,2508.592958,60.86111111,None
90,1/2/23,39173,0,west lawn,41.76776,-87.73013,30.78702083,65.15833333,None
91,1/2/23,124715,1,north park,41.980335,-87.71664,4.977388889,19.06111111,None
92,1/2/23,4404,0,NA,42.02362,-87.76341,33.31584722,61.23472222,None
93,1/2/23,4395,0,west ridge,41.99568,-87.69189,35.99895512,63.9943899,None
94,1/2/23,128349,0,south deering,41.7118,-87.55293,25.51147222,59.94722222,None
95,1/2/23,109598,0,west town,41.89003,-87.65576,43.40631944,56.04027778,None
96,1/2/23,96035,0,mckinley park,41.828648,-87.66791,23.62861111,67.50416667,None
97,1/2/23,56135,0,humboldt park,41.902527,-87.73614,19.00682883,62.98738739,None
98,1/2/23,124649,0,east side,41.68474,-87.53683,32.48822829,62.4789916,None
99,1/2/23,96079,0,new city,41.81229,-87.66579,47.96475107,63.84637269,None
100,1/2/23,57579,1,edgewater,41.991753,-87.657234,4.233694444,24.66666667,None
101,1/2/23,7920,0,south lawndale,41.849483,-87.69537,46.68984463,60.56214689,None
102,1/2/23,124759,1,north park,41.98036,-87.716576,4.266063978,18.45062587,None
103,1/2/23,137622,1,edgewater,41.998116,-87.65649,4.631069444,17.20555556,None
104,1/2/23,150042,0,edgewater,41.998127,-87.65679,43.24057719,70.85257302,None
105,1/2/23,148029,0,irving park,41.9475,-87.71516,45.38716197,60.97323944,None
106,1/2/23,43955,1,west ridge,41.993675,-87.6932,26.4535605,24.29137691,None
107,1/2/23,51933,0,jefferson park,41.981876,-87.7778,46.42644509,64.15751445,None
108,1/2/23,140102,0,brighton park,41.82193,-87.69146,48.94961538,73.13846154,None
109,1/2/23,36901,1,loop,41.88437,-87.61652,6.699060734,17.77118644,None
110,1/2/23,140390,1,uptown,41.975258,-87.67274,7.659777778,27.15555556,None
111,1/2/23,45359,1,west ridge,41.993645,-87.69304,18.57125348,19.93732591,None
112,1/2/23,133664,1,near south side,41.8595,-87.6205,34.52606944,51.69027778,None
113,1/2/23,94003,0,mckinley park,41.824825,-87.675125,47.90895683,69.6705036,None
114,1/3/23,137622,1,edgewater,41.998116,-87.65649,2.503184979,18.2837274,None
115,1/3/23,39173,0,west lawn,41.76776,-87.73013,14.77613352,72.06397775,None
116,1/3/23,45359,1,west ridge,41.993645,-87.69304,7.253607242,19.9637883,None
117,1/3/23,3499,0,west town,41.892696,-87.68569,8.876375618,84.50247117,None
118,1/3/23,8476,0,near south side,41.861206,-87.62989,8.297051282,100,None
119,1/3/23,124513,1,irving park,41.95386,-87.71078,1.765985816,23.4212766,None
120,1/3/23,124649,0,east side,41.68474,-87.53683,10.83828452,67.37377964,None
121,1/3/23,56135,0,humboldt park,41.902527,-87.73614,9.965104167,77.76762821,None
122,1/3/23,57579,1,edgewater,41.991753,-87.657234,4.663694444,25.19444444,None
123,1/3/23,124759,1,north park,41.98036,-87.716576,1.157097222,19.52777778,None
124,1/3/23,124737,0,edgewater,41.994427,-87.66211,11.26988889,69.70416667,None
125,1/3/23,96079,0,new city,41.81229,-87.66579,25.75043385,71.9487909,None
126,1/3/23,151082,0,rogers park,41.998966,-87.65796,20.75106398,77.55215577,None
127,1/3/23,7920,0,south lawndale,41.849483,-87.69537,21.00971289,65.40196078,None
128,1/3/23,52011,0,west town,41.911945,-87.66863,9.284769231,64.68811189,None
129,1/3/23,96035,0,mckinley park,41.828648,-87.66791,10.69047917,75.51944444,None
130,1/3/23,128349,0,south deering,41.7118,-87.55293,9.389040334,65.14047288,None
131,1/3/23,45079,1,NA,42.0225,-87.76374,2.814617524,27.43115438,None
132,1/3/23,124715,1,north park,41.980335,-87.71664,1.584833333,19.97916667,None
133,1/3/23,4404,0,NA,42.02362,-87.76341,12.6863491,69.56884562,None
134,1/3/23,133664,1,near south side,41.8595,-87.6205,15.13986806,59.01527778,None
135,1/3/23,140102,0,brighton park,41.82193,-87.69146,23.44693118,81.37078652,None
136,1/3/23,151188,0,near north side,41.897343,-87.62692,17.45881944,69.74583333,None
137,1/3/23,6546,1,lower west side,41.856613,-87.6818,0.948744711,26.57545839,None
138,1/3/23,101643,0,north park,41.980278,-87.71708,18.98327083,97.09722222,None
139,1/3/23,36901,1,loop,41.88437,-87.61652,1.828216292,19.08146067,None
140,1/3/23,4395,0,west ridge,41.99568,-87.69189,14.98368715,71.12150838,None
141,1/3/23,51933,0,jefferson park,41.981876,-87.7778,17.9987211,70.52312139,None
142,1/3/23,148029,0,irving park,41.9475,-87.71516,18.74502116,67.05007052,None
